Name,Category,Latitude,Longitude,Address,Tags,Bus,Metro,Cab,Open_time,Close_time,Famous For
,,,,,,,,,,,
Dodda Alada Mara,"Natural Landmark, Botanical Interest",12.9068° N,77.4604° E,"Tavarekere, Kethohalli Village, Ramohalli, Bengaluru, Karnataka 560074, India","#Nature, #HeritageTree, #PicnicSpot, #Photography, #FamilyOuting, #BotanicalWonder",1,1,1,09:00,17:30,"1)One of the oldest and largest banyan trees in India (over 400 years old)                                                                                                              2)Massive aerial roots that look like individual trees

3)Serene picnic spot and photography location

4) Ecological significance and natural beauty"
Hotel Sagar,Budget Hotel / Restaurant,12.9885° N,77.5522° E,"Dr Rajkumar Road, 2nd Block, Rajajinagar, Bengaluru, Karnataka 560010, India",#MangoMilkshake,1,1,1,07:00,22:00,"1) Thick , creamy , fruity with mango pieces - mango milkshake"
Club Cabana Amusement Park,Amusement & Water Park / Resort / Event Venue,13.1606° N,77.6315° E," Sadahalli, Before International Airport Toll Gate, Bengaluru, Karnataka 562110, India",#WaterPark #FamilyFun #CorporateOuting #AdventureResort #DayOuting,1,0,1,09:00,17:30,
Akkayamma Betta, Hillock / Religious Site / Nature Spot​,13.1663° N​,77.6426° E,"Maranayakanahalli, near Chikkajala, Bengaluru, Karnataka 562157, India"," #SunsetView #TempleHill #WeekendGetaway #PlaneSpotting #Photography​
",1,0,1,06:00,18:00,"1) Temples 
2) Kalyani 
3) Scenic View of Kempegowda International Airport"
Rangoli Gardens,Cultural Heritage Theme Park / Model Village​, 13.0605° N,77.6155° E,"Inside Mahatma Gandhi Institute of Rural Energy and Development, Srirampura Cross, Rachenahalli, Jakkur, Bengaluru, Karnataka 560064",#ModelVillage #CulturalHeritage #FamilyOuting #EducationalTrip #TraditionalArt,1,0,1,09:00,18:00,"1) Cultural Exhibits
2) Interactive Activities 
3) Live Performance
4) Dining in Rangoli Kitchen"
Bengaluru's Cafe,South Indian Vegetarian Restaurant,"12.9359° N
",77.5848° E,"9th Cross, 9th Main Road, 2nd Block, Jayanagar, Bengaluru, Karnataka 560011"," #SouthIndianCuisine 
#Vegetarian #BudgetFriendly #BreakfastSpot #BenneDosa",1,1,1,07:00,21:30,"1) Butter Masala Dosa 
2) Idli Vada Combo 
3) Khara Bath
4) Kesari Bath 
5) Filter Coffee"
Shri Bande Mahakali Temple,Hindu Temple, 12.9441° N,77.5712° E,"No. 75, Shri Bande Mahakali Temple, Kempambudhi Kere Yeri, Gavipuram Guttahalli, Kempegowda Nagar, Bengaluru, Karnataka 560019", #MahakaliTemple #SpiritualSanctuary #AncientTemple #NavratriCelebration #DevotionalHub​,1,1,1,06:30,20:30,"1) Historical Significance 
2) Unique Traditions 
3) Festival celebration during Navratri"
Gobi Corner, Street Food Stall / Vegetarian Fast Food,12.9675° N,77.5732° E,"7, 2nd Cross, KV Temple Street Cross, near South Corner Hotel, Sowrashtrapet, Chickpet, Bengaluru, Karnataka 560053", #GobiManchurian #BeetrootGobi #StreetFood #ChickpetEats #VegetarianDelight​,1,1,1,16:30,22:00,"1) Beetroot- Infused Gobi Manchurian 
2) Crispy Gobi Dishes"
 O.G. Variar & Sons Bakery,Traditional Bakery / Confectionery, 12.9680° N,77.5722° E," 68, 12th Main Road, 2nd Block, Behind ESI Hospital, Opposite Anjaneya Swamy Temple, Rajajinagar, Bengaluru, Karnataka 560010",#TraditionalBakery #IconicBakery #BengaluruEats #Rajajinagar,1,1,1,08:30,21:00,"1) Fruit Puff
2) Coconut Bisuits
3) Butter Cookies 
4) Veg Puffs 
5) Plum Cake 
6) Toast"
Omkar Hills, Spiritual Hilltop Complex,12.9269° N, 77.5375° E," Omkar Ashrama Maha Samasthana, Omkar Hills, Shrinivasapura, Bengaluru, Karnataka 560060", #OmkarHills #DwadashaJyotirlinga #MatsyaNarayanaTemple #SpiritualRetreat #BengaluruLandmarks​,1,1,1,07:00,21:00,"1) Dwadasha Jyotirlinga Temple:
2) Matsya Narayana Temple
3) Vana Durga Temple
4) Giant Clock Tower
5) Vishwamitra Veda Vidyalaya
6) Goshala"
Pyramid Valley, Meditation Center / Spiritual Retreat,12.8430° N,77.5290° E,"Kebbedoddi Village, Harohalli Hobli, Kanakapura Taluk, Ramanagara District, Bengaluru, Karnataka 562112", #MeditationCenter #SpiritualRetreat #PyramidValley #BengaluruAttractions,1,0,1,09:00,17:00,"1) Maitreya Buddha Pyramid
2) Pyramid Spiritual Societies Movement
3) Serene Environment"
St. Mary's Basilica Church, Minor Basilica / Roman Catholic Church, 12.9842° N,77.6039° E," Msgr. F. Noronha Road, Shivaji Nagar, Bengaluru, Karnataka 560051", #GothicArchitecture #PilgrimageSite #StMarysBasilica #BengaluruLandmarks,1,1,1,06:00,20:00,"1) Gothic Architecture
2) St. Mary's Feast
3) Pilgrimage Site"
"St. Patrick’s Church,",Roman Catholic Church,12.9699° N, 77.6061° E,"15K, Brigade Road, Ashok Nagar, Bengaluru – 560025, Karnataka, India",#HistoricChurch #GothicArchitecture #PilgrimageSite #BengaluruLandmarks,1,1,1,06:00,20:00,"1) Gothic Architecture:
2) Historical Significance
3) Peaceful Ambience
4) Community Engagement"
 St. Mark’s Cathedral Church,Anglican Cathedral, 12.9760° N, 77.6002° E,"#1, M.G. Road, Shivajinagar, Bengaluru, Karnataka 560001",#AnglicanCathedral #HistoricChurch #BengaluruLandmarks #MGBangalore,1,1,1,09:00,17:30,"1) Historical Significance
2) Architectural Style
3) Cultural Heritage"
Holy Ghost Church, Roman Catholic Church,13.0050° N, 77.6220° E," 9/1, Clarke Road, Richards Town, Post Box 8451, St. Thomas Town Post, Bengaluru – 560084", #RedemptoristParish #MotherOfPerpetualHelp #HistoricChurch #BengaluruChurches,1,1,1,06:00,19:00,"1) Historical Significance
2) Architectural Design
3) Mother of Perpetual Help Devotion
4) Community Engagement"
Holy Trinity Church,Anglican / Church of South India (CSI),12.9716° N, 77.6206° E,"Trinity Circle, Mahatma Gandhi Road, Bengaluru, Karnataka 560001", #HistoricChurch #EnglishRenaissance #MilitaryChurch #Landmark,1,1,1,06:00,18:00,"1) Historical Significance
2) Architectural Style
3) Cultural Heritage"
Infant Jesus Church, Roman Catholic Church,12.9456° N,77.6220° E,"Infant Jesus Shrine, Bazaar Street, Rose Garden, Vannarpet Layout, Vivek Nagar, Bengaluru, Karnataka 560047, India",#InfantJesusShrine #VivekNagar #MiracleChurch #PilgrimageSite,1,1,1,05:45,18:00,"1) Historical Significance
2) Architectural Design
3) Pilgrimage Site"
Vidhana Soudha ,Government Building / State Legislature,12.9797° N,77.5906° E,"Dr. B.R. Ambedkar Road, Sampangi Rama Nagara, Bengaluru, Karnataka 560001, India","#NeoDravidianArchitecture

#KarnatakaLegislature

#IconicLandmark

#GovernmentBuilding

#BengaluruAttraction",1,1,1,09:00,17:00,"1)Architectural Grandeur
2) Political Significance
3) Cultural Icon"
Bangalore Palace,Heritage Monument / Royal Palace,12.9975° N,77.5927° E,"Bangalore Palace, Vasanth Nagar, Bengaluru, Karnataka 560052, India","#TudorRevivalArchitecture

#WadiyarDynasty

#RoyalResidence

#CulturalHeritage

#TouristAttraction",1,1,1,10:00,17:30,"1) Architectural Grandeur
2) Royal Heritage
3) Artistic Interiors
4) Cultural Events"
Snow City ,Indoor Snow Theme Park / Family Entertainment Center,13.0086° N,77.5963° E,"Snow City Bangalore, Fun World Complex, Opposite TV Tower, J.C. Nagar, Bengaluru, Karnataka 560006, India",#IndoorSnowPark #FamilyFun #SnowSlides #9DCinema #BangaloreAttractions,1,1,1,10:15,20:00,"1) Snow Activities
2) 9D Cinema
3) Madlabs & Eyelusion
4) Eco-Friendly Snow
5) Family-Friendly Environment"
Innovative Film City ,Theme Park / Film-Based Entertainment Complex,12.7774° N,77.4144° E ,"24 & 26, KIADB Estates, Birmangala Cross, Bidadi, Bengaluru, Karnataka 562109, India",#InnovativeFilmCity #Bidadi #ThemePark #FamilyEntertainment #FilmStudio #AdventurePark #BangaloreAttractions,1,0,1,10:00,19:00,"1) Diverse Attractions
2) Cultural Exhibits
3) Bigg Boss Tour
4) Festive Celebrations
5) Dining Options"
Summer Palace,Historical Monument / Indo-Islamic Architecture, 12.9595° N,77.5737° E,"Albert Victor Road, Chamrajpet, Bengaluru, Karnataka 560018, India",#TipuSultan #SummerPalace #IndoIslamicArchitecture #BangaloreHeritage #HistoricalMonument,1,1,1,08:30,17:30,"1) Architectural Grandeur
2) Historical Significance
3) Museum Exhibits
4) Cultural Symbol"
Sankey Tank,Urban Lake / Public Park / Historical Landmark,13.0100° N,77.5700° E,"Sankey Tank, 11th Cross, Kodandarampura, Malleshwaram West, Bengaluru, Karnataka 560003, India",#SankeyTank #UrbanLake #Boating #BirdWatching #NatureWalks #BangaloreParks #HistoricalReservoir,1,1,1,06:00,20:00,"1) Historical Significance
2) Boating Facilities
3) Recreational Activities
4) Biodiversity
5) Scenic Beauty"
HAL Aerospace Museum,Aviation Museum / Aerospace Heritage Centre, 12.9553° N, 77.6810° E ,"Near HAL Police Station, HAL Old Airport Road, Marathahalli, Bengaluru, Karnataka 560037, India",#HALAerospaceMuseum #IndianAviation #AircraftExhibits #FlightSimulators #BangaloreMuseums #HALHeritageCentre,1,0,1,09:00,17:00,"1) India's First Aerospace Museum
2) Aircraft and Helicopter Displays
3) Engine Models and Flight Simulators
4) Mock Air Traffic Control Tower
5) Educational Exhibits
6) Cafeteria and Souvenir Shop"
 Visvesvaraya Industrial and Technological Museum (VITM),Science & Technology Museum / Industrial Heritage,12.9750° N,77.5965° E,"5216, Kasturba Road, Ambedkar Veedhi, Sampangi Rama Nagar, Bengaluru, Karnataka 560001, India","#VisvesvarayaMuseum #ScienceMuseum #InteractiveExhibits #BangaloreAttractions #STEMEducation #FamilyFriendly
",1,1,1,09:30,18:00,"1) Historical Significance
2) Interactive Exhibits
3) Space Technology Gallery
4) Biotechnology and Electronics
5) Children's Gallery
6) Dinosaur Exhibit
7) Wright Brothers' Flyer
8) Educational Programs"
 Jawaharlal Nehru Planetarium,Science & Astronomy Education Centre / Planetarium,12.9849° N, 77.5896° E,"Sri T. Chowdaiah Road, High Grounds, Ambedkar Veedhi, Sampangi Rama Nagar, Bengaluru, Karnataka 560001, India",#JawaharlalNehruPlanetarium #BangaloreScience #SkyTheatre #AstronomyEducation #FamilyAttractions,1,1,1,10:00,17:30,"1) Sky Theatre Shows
2) Science Park
3) Exhibition Hall
4)Special Programs
5)  Educational Outreach"
Commercial Street,"Shopping Street / Commercial Area
",12.9836° N,77.6061° E,"Commercial Street, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka 560001, India
",#StreetShopping #BengaluruMarkets #FashionHub #StreetFood #CulturalExperience,1,1,1,10:30,20:00,"1) Clothing
2) Footwear
3) Jewelry
4) Accessories
5) Street Food
6) Cultural Experience"
Brigade Road,"Shopping Street / Commercial Area
", 12.9716° N,77.6079° E,"Brigade Road, Bengaluru, Karnataka, India
","#BrigadeRoad #BengaluruShopping #StreetShopping #CityNightlife #UrbanCulture
",1,1,1,10:30,20:00,"1) Shopping
2) Dining
3) Nightlife
4) Cultural Significance"
 Church Street,Pedestrian Street / Cultural & Commercial Hub,12.9743° N, 77.6077° E,"Church Street, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",#ChurchStreetBangalore #PedestrianStreet #CulturalHub #StreetFood #ArtAndMusic,1,1,1,10:30,20:00,"1) Shopping
2) Dining
3) Nightlife
4) Cultural Significance"
Mahatma Gandhi(MG Road),High Street / Commercial & Cultural Hub, 12.9742° N, 77.6079° E,"Mahatma Gandhi Road, Craig Park Layout, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",#HighStreetShopping #BengaluruLandmark #UrbanCulture #MGRoadBangalore #CityCenter,1,1,1,10:00,21:00,"1) Shopping
2) Dining
3) Nightlife
4) Cultural Significance"
Chickpet,Traditional Market / Wholesale & Retail Hub,12.97186° N, 77.57721° E ,"Chickpet Market, Santhusapet, Chickpet, Bengaluru, Karnataka – 560053, India",#ChickpetMarket #BengaluruShopping #SilkSarees #TraditionalMarket #WholesaleHub,1,1,1,09:00,21:00,"1) Silk Sarees
2) Jewelry
3)Textiles
4)  Accessories
5) Home Appliances"
JNC Road,Student-Centric Commercial & Cultural Hub,12.9331° N, 77.6147° E,"JNC Road, 5th Block, Koramangala, Bengaluru, Karnataka 560095, India",#JNCroad #Koramangala #StudentHub #StreetFood #BudgetShopping,1,1,1,10:00,21:00,"1) Budget Shopping
2) Street Food
3) Cafes & Hangout Spots
4) Cultural Significance"
National Market ,Budget Shopping Hub / Grey Market,12.9765° N,77.5716° E,"National Market, W H Hanumanthappa Road, 5th Main, K G Road, Gandhi Nagar, Bengaluru, Karnataka 560009, India",#NationalMarket #BudgetShopping #ElectronicsBangalore #GandhiNagarMarket #BargainHunting,1,1,1,10:00,22:00,"1)Electronics & Gadgets
2)  Clothing & Footwear
3) Accessories
4) Bargain Deals"
Gandhi Bazaar,Traditional Market / Cultural Shopping Street,12.945589° N, 77.571256° E ,"Gandhi Bazaar Main Road, Basavanagudi, Bengaluru, Karnataka 560004, India",#GandhiBazaar #Basavanagudi #TraditionalMarket #FlowerMarket #CulturalHub,1,1,1,10:00,21:00,"1) Flower and Condiment Shops
2)Traditional Eateries
3)  Cultural Significance"
Jaynagar 4th Block,Shopping Street / Commercial Area,12.9250° N, 77.5938° E,"Jayanagar 4th Block, Bengaluru, Karnataka 560011, India",#Jayanagar4thBlock #BangaloreShopping #StreetShopping #BudgetFashion #SouthBangalore,1,1,1,10:00,21:00,"1) Street Shopping
2) Jayanagar Shopping Complex
3) Culinary Delights
4) Cultural Significance"
Iskcon temple,Spiritual & Cultural Landmark,13.0096643,77.5511344,"ISKCON Sri Radha Krishna Temple
Hare Krishna Hill, Chord Road, Rajajinagar
Bengaluru, Karnataka 560010, India","#ISKCONBangalore
#HareKrishnaHill
#RadhaKrishnaTemple
#SpiritualCenter
#CulturalHeritage
#DevotionalHub
#BangaloreLandmark
#TempleArchitecture
#AkshayaPatraInitiative
#FestivalsCelebration",1,1,1,07:15,20:20,"1) Architectural Grandeur
2) Spiritual Activities
3)Cultural Events
4)Social Initiatives
5)Facilities"
Big Bull Temple,Spiritual & Cultural Landmark,12.950549° N,77.567883° E,"Bull Temple Road, Basavanagudi, Bengaluru, Karnataka 560004, India","#BullTemple
#DoddaBasavanaGudi
#NandiTemple
#Basavanagudi
#VijayanagaraArchitecture
#CulturalHeritage
#KadalekaiParishe
#MonolithicSculpture
#BangaloreLandmark",1,1,1," 6:00 AM
5:30 PM","12:00 PM
 9:00 PM","1) Monolithic Nandi Statue
2) Vijayanagara Architecture
3)Kadalekai Parishe (Groundnut Fair)
4)Cultural Significance"
Jagannath Temple,Spiritual & Cultural Landmark,12.9237° N,77.6465° E,"Agara Village, 1st Sector, HSR Layout,
Bengaluru, Karnataka 560102, India","#JagannathTempleBangalore
#AgaraTemple
#HSRLayout
#OdiaArchitecture
#RathYatra
#CulturalHeritage
#SpiritualCenter
#BangaloreLandmark",1,1,1,"6:00 AM
 4:00 PM"," 1:30 PM
 8:30 PM","1) Architectural Grandeur
2) Rath Yatra Festival
3) Cultural Activities
4)Spiritual Ambiance"
 Ragigudda Sri Prasanna Anjaneyaswamy Temple,Spiritual & Cultural Landmark,12.9180° N,77.5990° E,"9th Block, Jayanagar,
Bengaluru, Karnataka 560069, India","#RagiguddaTemple
#AnjaneyaSwamy
#HanumanTemple
#Jayanagar
#SpiritualSanctuary
#CulturalHeritage
#BangaloreLandmark
#HanumanJayanti",1,1,1," 8:00 AM 
 5:00 PM"," 11:30 AM
 8:00 PM","1)Monolithic Hanuman Idol
2)Hillock Location
3)Hanuman Jayanti Celebrations
4)Community Services
5)Architectural Blend"
 Shrungagiri Sri Shanmukha Temple,Spiritual & Cultural Landmark,12.9150° N,77.5280° E,"Shrungagiri Sri Shanmukha Temple
Rajarajeshwari Nagar,
Bengaluru, Karnataka 560098, India","#ShrungagiriShanmukhaTemple
#LordMurugan
#RajarajeshwariNagar
#SixFacedGod
#StarShapedArchitecture
#SpiritualSanctuary
#BangaloreTemples",1,1,1," 6:00 AM 
 4:00 PM"," 12:00 PM
 8:00 PM","1)Six-Faced Gopuram
2) Star-Shaped Architecture
3) Crystal Dome
4)Hilltop Location
5)Cultural Significance"
 Sri Annamma Devi Temple,Spiritual & Cultural Landmark,12.9765° N,77.5756° E,"Sri Annamma Devi Temple
Subedar Chatram Road, Gandhi Nagar,
Majestic, Bengaluru, Karnataka 560009, India","#AnnammaDeviTemple
#GuardianDeity
#MajesticBangalore
#GoddessAnnamma
#CulturalHeritage
#SpiritualSanctuary
#BangaloreTemples",1,1,1," 6:00 AM
 4:00 PM","12:00 PM
 9:00 PM","1)Historical Significance
2)Guardian Deity
3)Cultural Importance
4)Community Engagement"
Sri Meenakshi Sundareshwara Temple,Spiritual & Cultural Landmark,12.8825° N,77.5995° E,"Sri Meenakshi Sundareshwara Temple
Hulimavu, Bannerghatta Road,
Bengaluru, Karnataka 560076, India","#MeenakshiTempleBangalore
#Sundareshwara
#Hulimavu
#BannerghattaRoad
#SpiritualSanctuary
#CulturalHeritage
#BangaloreTemples",1,1,1,"6:30 AM
 4:00 PM","12:30 PM
8:30 PM","1) Architectural Splendor
2) Dual Sanctums
3) Serene Ambiance
4) Cultural Significance
5) Community Engagement"
Bhartiya Mall of Bengaluru,Shopping & Lifestyle Destination,13.083979° N, 77.641766° E,"Bhartiya Mall of Bengaluru
Bhartiya City, Thanisandra Main Road,
Kannuru, Bengaluru, Karnataka 560064, India","#BhartiyaMall
#BhartiyaCity
#ShoppingInBangalore
#ThanisandraMall
#LifestyleDestination
#RetailTherapy
#FoodCourt
#EntertainmentHub",1,1,1,10:00,22:00,"1) Diverse Retail Options
2)Culinary Delights
3)Entertainment Hub
4)Events and Activities
5)Modern Amenities"
UB City,"Luxury Retail, Dining & Business Complex", 12.9716° N,77.6055° E,"UB City Mall
#24, Vittal Mallya Road,
Ashok Nagar, Bengaluru – 560001, Karnataka, India","#UBCityBangalore
#LuxuryShopping
#FineDining
#BusinessHub
#ArtAndCulture
#PrestigeGroup
#VittalMallyaRoad",1,1,1,11:00,23:30,"1) Luxury Retail
2)Fine Dining
3)Art & Culture
4)Nightlife
5)Corporate Hub"
 Orion Mall,Premium Lifestyle Mall & Entertainment Hub,13.011053° N,77.554939° E,"Orion Mall
Brigade Gateway, 26/1 Dr. Rajkumar Road,
Malleshwaram West, Bengaluru, Karnataka 560055, India","#OrionMall
#BrigadeGateway
#LuxuryShopping
#EntertainmentHub
#BengaluruMalls
#PVRCinemas
#TimeZoneGaming
#TheSaucepanFoodCourt",1,1,1,10:00,22:00,"1)Luxury Retail
2)Entertainment Options
3)Gaming Zone
4)Dining Delights
5)Architectural Design"
LuLu Mall ,Premium Lifestyle Mall & Entertainment Hub,13.0082° N,77.5561° E,"No 19/2, Part of CTS No 2, Mysore Deviation Road,
Gopalapura (Ward No 96), Opposite Sujata Theatre,
Rajajinagar, Bengaluru 560023, Karnataka, India","#LuLuMallBengaluru
#LuLuHypermarket
#Funtura
#LuxuryShopping
#FamilyEntertainment
#Rajajinagar
#BengaluruMalls
#LuLuGroup",1,1,1,09:00,23:00,"1)LuLu Hypermarket
2)Funtura Entertainment Zone
3)Diverse Dining Options
4)Luxury and International Brands
5)Events and Activities"
Phoenix Mall of Asia,Luxury Lifestyle Mall & Entertainment Hub,13.0633° N,77.6140° E,"239/240, Byatarayanapura,
Yelahanka Hobli, Bellary Road,
Bengaluru, Karnataka 560092, India","#PhoenixMallOfAsia
#LuxuryShopping
#EntertainmentHub
#FamilyFriendly
#NorthBengaluru
#INOXMegaplex
#Funtura
#EVCharging",1,0,1,10:00,21:30,"1)Luxury Retail
2)Entertainment Zone
3)Diverse Dining Options
4)Sustainable Infrastructure"
Nexus Koramangala,Urban Lifestyle Mall & Entertainment Hub, 12.9344° N, 77.6111° E,"Nexus Koramangala Mall
105, Hosur Main Road, Adugodi,
Koramangala, Bengaluru – 560095, Karnataka, India","#NexusKoramangala
#FirstMallBengaluru
#PVRCinemas
#TimezoneGaming
#TheTransitLounge
#FashionAndFood
#KoramangalaLandmark
#StudentFriendly",1,0,1,10:00,22:00,"1)PVR Cinemas
2)The Transit Lounge Food Court
3)Retail Brands
4)Landmark Bookstore
5)Timezone Gaming Zone
6)First McDonald's in Bengaluru"
Mantri Square Mall,Urban Lifestyle Mall & Entertainment Hub,12.9923° N, 77.5703° E,"Mantri Square Mall
1, Sampige Road, Malleswaram,
Bengaluru, Karnataka 560003, India","#MantriSquare
#MalleswaramMall
#INOXMall
#AmoebaBowling
#FoodCourtBangalore
#SampigeRoad
#FamilyFriendly
#MetroConnected",1,1,1,10:00,23:00,"1)INOX Cinemas
2)Amoeba Bowling Alley & Gaming Center
3)Largest Food Court in Bengaluru
4)Designer Boutiques and International Brands
5)Events and Activities"
Royal Meenakshi Mall ,Community-Oriented Shopping & Entertainment Hub,12.8951° N,77.5890° E,"Royal Meenakshi Mall
Bannerghatta Main Road, Hulimavu,
Bengaluru, Karnataka 560076, India","#RoyalMeenakshiMall
#SouthBangalore
#Cinepolis
#HyperCity
#FamilyFriendly
#ShoppingAndDining
#CommunityMall
#BannerghattaRoad",1,1,1,10:00,23:00,"1)Cinepolis Cinemas
2)HyperCity Supermarket
3)Retail Brands
4)Dining Options
5)Entertainment Zone"
Forum Falcon City Mall,Urban Lifestyle Mall & Entertainment Destination, 12.8880° N,77.5629° E,"Forum Falcon City Mall
Anjanadri Layout, Konanakunte,
Bengaluru, Karnataka 560062, India","#ForumFalconCity
#ForumSouthBangalore
#KanakapuraRoad
#PrestigeGroup
#RetailHub
#Entertainment
#DiningOptions
#FamilyFriendly",1,1,1,10:00,23:00,"1)PVR Cinemas
2)Retail Brands
3)Dining Options
4)Entertainment Zone
5)Events and Activities"
"Skyye Lounge, UB City",Rooftop Lounge & Nightlife Destination, 12.9716° N, 77.5925° E,"Skyye Lounge
16th Floor, Uber Level, Canberra Block
UB City Mall, Vittal Mallya Road
Ashok Nagar, Bengaluru, Karnataka 560001, India","#SkyyeLounge
#UBCityBengaluru
#RooftopBar
#NightlifeBangalore
#CityView
#SignatureCocktails
#DJNights
#PartyVenue",1,1,1,14:00,01:00,"1)Panoramic City Views
2)Innovative Lighting
3)Signature Cocktails
4)Live DJ Nights
5)Gourmet Cuisine
6)Event Hosting"
